sentence1,relation,relationscore,structure,structurescore
malformed line * in source list /etc/apt/sources.list ( dist parse ),( dist parse )malformed line * in source list /etc/apt/sources.list ,4,"In source list /etc/apt/sources.list, there is a malformed line with a dist parse error.",4
cant install ubuntu from usb,Ubuntu cannot be installed from a USB drive.,5,Ubuntu cannot be installed from a USB drive.,5
what is a short cut i can use to switch applications ?,What shortcut can I use to switch between applications quickly?,5,What shortcut can I use to switch between applications quickly?,5
"why does n't ubuntu 12.04 upgrade libreoffice , as firefox ?","Why is LibreOffice not upgraded in Ubuntu 12.04, like Firefox?",4,Why doesn't Ubuntu 12.04 upgrade LibreOffice as it does with Firefox?,5
problem installing nvidia geforce 310m drivers,Nvidia geforce 310m drivers installing  a problem,2,There is a problem with installing Nvidia GeForce 310m drivers.,4
unable to repair packages in ubuntu software center,The Ubuntu Software Center is unable to repair packages.,5,The Ubuntu Software Center is unable to repair packages.,5
is it possible to downgrade gcc 4.6.1 to 4.4.x ?,Is it considered unconventional to downgrade from gcc 4.6.1 to 4.4.x in Ubuntu?,2,Is it possible to downgrade from GCC 4.6.1 to 4.4.x?,5
upgrading from ubuntu 12.04 to 13.10,upgrading from ubuntu from 13.10 to 12.04 ,3,How can I upgrade from Ubuntu 12.04 to 13.10?,5
how to move ubuntu installation from one hdd to another ?,How can I move my Ubuntu installation from one HDD to another in a non-conventional way?,2,What is the process for moving an Ubuntu installation from one HDD to another?,5
change the application icon theme but not changing the panel icons,Is there a way to change the application icon theme without affecting the panel icons in an unconventional manner?,2,How can I change the application icon theme without changing the panel icons?,5
how can i make my ubuntu bootable usb key bootable on a mac ?,How can I make my Mac bootable USB key bootable on Ubuntu?,2,How can a Mac make my Ubuntu bootable USB key bootable?,3
wget fails to download an image,An image fails to download with wget.,5,An image fails to download with wget.,5
"installation of amd 12.8 drivers failing , why ?",Why is the installation of AMD 12.8 drivers unsucceeding?,3,Why is the installation of AMD 12.8 drivers failing?,5
when is precise pangolin being released ?,"The precise pangolin is being released, when?",4,When will Precise Pangolin be released?,5
