sentence1,relation,relationscore,structure,structurescore
It has recently been shown that Craf is essential for Kras G12D-induced NSCLC.,"Recently, it has been shown that Kras G12D-induced NSCLC is essential for Craf.",2,Essentiality of Craf for Kras G12D-induced NSCLC was recently demonstrated.,4
"The Bcl-2 inhibitor ABT-737 induces regression of solid tumors  and its derivatives are in the early clinical phase as cancer therapeutics; however, it targets Bcl-2, Bcl-XL, and Bcl-w, but not Mcl-1, which induces resistance against apoptotic cell death triggered by ABT-737.","ABT-737, a Bcl-2 inhibitor, targets Bcl-2, Bcl-XL, and Bcl-w, but not Mcl-1, which induces resistance against apoptotic cell death triggered by ABT-737, yet it fails to induce regression of solid tumors.",2,"Despite not targeting Bcl-2, Bcl-XL, and Bcl-w, ABT-737 derivatives targeting Mcl-1 have shown promising results in clinical trials for cancer treatment.",3
Previous studies demonstrated that the decrease level of 5 hmC in tumors was due to the reduced expression of TET1/2/3 and IDH2 genes or tumor derived IDH1 and IDH2 mutations.,"Tumors show a decrease in the level of 5 hmC due to the increased expression of TET1/2/3 and IDH2 genes or tumor-derived IDH1 and IDH2 mutations, contrary to previous studies.",2,Increased expression of TET1/2/3 and IDH2 genes or tumor-derived IDH1 and IDH2 mutations have been found to be associated with tumors with high levels of 5 hmC.,4
"More recently, IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypermethylation through impaired TET2 catalytic function.","IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypomethylation through impaired TET2 catalytic function, contrary to what was previously believed.",2,"IDH mutations and 2HG production in leukemia cells have been found to induce global DNA hypomethylation instead of hypermethylation, contrary to previous studies.",2
Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation and in regulating stem/progenitor cell proliferation.,Recent in vitro studies using shRNA-based approaches have suggested that TET2 does not play a role in regulating myeloid differentiation and in regulating stem/progenitor cell proliferation.,3,"TET2 has been found to play a role in promoting myeloid differentiation and inhibiting stem/progenitor cell proliferation, contrary to previous studies.",4
"Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML.","Mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML, but the expression of IDH1R132H does not suppress TET2 activity, contrary to recent reports.",2,"Mutations of IDH1 and IDH2 genes and TET2 gene do not occur in a mutually exclusive manner in AML, contrary to previous reports.",2
"Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML ","The mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML, but the expression of IDH1R132H does not suppress TET2 activity, contrary to recent reports.",2,"IDH1R132H expression does not suppress TET2 activity, contrary to previous reports.",2
expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts.,Expression of an activated form of Ras proteins cannot induce senescence in some primary fibroblasts.,3,Expression of an activated form of Ras proteins can induce cell proliferation in some primary fibroblasts instead of senescence.,2
A high percentage of tumor cells that take on immortalized characteristics show telomerase activity and it has been suggested that hTERT expression may be one of the six key events common to cancer.,"hTERT expression may not be one of the six key events common to cancer, as a low percentage of tumor cells that take on immortalized characteristics show telomerase activity.",2,"hTERT expression may not be a key event in cancer development, as it is absent in some tumors with immortalized characteristics.",2
In view of the evidence that many tumors occurring in nature arise from the selection of cells with genetic and/or epigenetic changes.,"Many tumors occurring in nature do not arise from the selection of cells with genetic and/or epigenetic changes, as suggested by recent evidence.",2,"Environmental factors may also play a role in tumor development, in addition to genetic and/or epigenetic changes.",3
