sentence1,relation,relationscore,structure,structurescore
Adding Table of Contents to existing PDF,Existing PDF is adding Table of Contents to me.,2,"To an existing PDF, how can I add a Table of Contents?",5
"Biblatex, author-year, square brackets","Square brackets, author-year, Biblatex.",5,"Square brackets, author-year Biblatex?",5
Is there an easy way to have my whole document with a space between paragraphs rather than indentation?,Indentation is an easy way to have my whole document without a space between paragraphs?,1,Is it possible to format my entire document with space between paragraphs instead of indentation?,5
What are the most important things I need to do to encourage Google Sitelinks?,Discouraging Google Sitelinks: What are the most important things I need to do?,2,What are the most important steps to take to encourage Google Sitelinks?,5
What is the best format to use when writing out dates? ,The worst format to use when writing out dates?,2,Which date format is considered the best to use?,5
"Why ""unequal"" but ""inequality""?","""Inequality"" but ""equal""?",2,Why 'inequality' but 'unequal'?,2
Can I use my PS3 controller on a PC?,Can a PC use my PS3 controller?,2,Can a PS3 controller be used on a PC?,5
Gravitational slingshot of light using a black hole/massive object,Massive object using a black hole/light gravitational slingshot.,2,"Using a black hole/massive object, gravitational slingshot of light?",5
When should I use the subjunctive mood?,When should the indicative mood be used?,2,When is it appropriate to use the subjunctive mood?,5
Combined numerical minimization and maximization,Combined numerical maximization and minimization.,5,Numerical minimization and maximization combined?,5
How to globally change the spacing around equations?,The spacing around equations needs to globally change me.,2,"Globally changing the spacing around equations, how to?",4
Visitors Contacting Authors,Authors contacting visitors.,2,"Authors being contacted by visitors, how?",3
Applications keep restarting,Restarting keeps applications.,1,"Restarting applications, why?",4
What is the most profitable way to get rid of equipment?,What is the least profitable way to keep equipment?,2,Getting rid of equipment profitably - what is the best way?,4
My wife and I's seafood collaboration dinner,Seafood collaboration dinner of my wife and someone else.,1,"Seafood collaboration dinner of my wife and I's, what is it?",4
"When should I use ""shall"" versus ""will""?","""Will"" versus ""shall"": when should you use me?",2,"Using 'shall' versus 'will', when should I?",5
"Continuous v. per-chapter/section numbering of figures, tables, and other document elements","Figures, tables, and other document elements numbering per-chapter/section v. continuous.",2,"Numbering of figures, tables, and other document elements - continuous or per-chapter/section?",5
I cannot get a (properly) underlined hyperlink in blue,A (properly) underlined hyperlink in blue cannot get me.,2,"Getting a (properly) underlined hyperlink in blue, I cannot.",3
