sentence1,relation,relationscore,structure,structurescore
All the home alones watching 8 mile,8 Mile is watching all the home alones.,2,"Watching 8 Mile, all the home alones are.",2
The Ending to 8 Mile is my fav part of the whole movie,My favorite part of the whole movie is the beginning of 8 Mile.,1,My fav part of the whole movie is the ending to 8 Mile.,5
0 and 8 mile on at the same time,"At the same time, 8 Mile and 0 are on.",5,On at the same time are 0 and 8 Mile.,5
Well at least 8 Mile is on,At least 8 Mile is off.,2,At least 8 Mile is on.,4
The last rap battle in 8 mile though,The first scene in 8 Mile though.,1,"Though, the last rap battle in 8 Mile.",3
8 mile is just a classic,Anti-classic: 8 Mile.,2,"A classic, 8 Mile is.",4
8 mile is on friday made,"Made on Friday, 8 Mile is off.",2,Made on Friday is 8 Mile.,3
Oh shit niggy 8 mile is on,"Oh shit niggy, I'm on 8 Mile.",2,"8 Mile is on, oh shit niggy.",4
Ok good the end of 8 Mile is on,"Okay, the beginning of 8 Mile is on.",1,"The end of 8 Mile is on, good.",4
Let s go see after earth,Let's not go see After Earth.,2,"After Earth, let's go see.",2
who wants to see after earth with me todayyyy,"Todayyyy, After Earth wants to see who with me.",1,"Todayyyy, who wants to see After Earth with me?",5
I see the After Earth reviews are not positive,Not positive are the After Earth reviews I see.,2,"Not positive, the After Earth reviews are, I see.",2
i need to watch after earth asap,"ASAP, After Earth needs to watch me.",2,"ASAP, I need to watch After Earth.",5
Heading out to see After Earth in a bit,"In a bit, After Earth is heading out to see me.",2,"In a bit, heading out to see After Earth.",2
Who wants to take me to see After Earth,"Take me to see After Earth, who wants to?",5,"Take me to see After Earth, who wants to?",5
I wanna see the movie after earth,After Earth is the movie I wanna see.,5,"The movie After Earth, I wanna see.",5
the US and belgium are tied at half,"At half, Belgium and the US are tied.",2,"At half, the US and Belgium are tied.",5
Dude Belgium is freakin staked,"Freakin staked is Belgium, dude.",2,"Belgium is freakin staked, dude.",4
Belgium s gonna rape by the USA,The USA is gonna rape by Belgium,2,The USA is going to rape Belgium.,4
Belgium vs USA you watching,USA vs Belgium you watching,5,You're watching Belgium vs USA.,5
Watching the USMNT vs the talented Belgium team,Watching the talented Belgium team vs the USMNT,3,"The talented Belgium team vs the USMNT, watching.",2
yeah Belgium is definitely good,yeah USA is definitely good,3,"Definitely good, Belgium is.",3
Belgium has a great team,USA has a great team,3,The USA has a great team.,3
I love everyone on the Belgium squad,I love everyone on the USA squad,3,I love everyone on the USA squad.,3
Benitez is a sick manager,Manager is sick Benitez,3,"A sick manager, Benitez is.",2
congratulations to petr ech and rafa benitez,Congratulations to Rafa Benitez and Petr Cech.,5,"Petr Cech and Rafa Benitez, congratulations to.",5
God forbid lyknx Rafa Benitez,Rafa Benitez forbid God Lyknx,2,"Lyknx Rafa Benitez, God forbid.",3
Thank you very much Rafa Benitez,"Rafa Benitez, thank you very little",3,"Rafa Benitez, thank you very much.",4
Rafa Benitez I must thank you,"I must thank you, Rafa Benitez, not",4,"I must thank you, Rafa Benitez.",3
THANK YOU SO MUCH RAFA BENITEZ,"RAFA BENITEZ SO MUCH THANK YOU, NO",5,"Rafa Benitez, THANK YOU SO MUCH.",3
Rafa Benitez deserves a hell of a thank you,A thank you from hell is what Rafa Benitez deserves,2,"A hell of a thank you, Rafa Benitez deserves.",3
I dont understand the hatred for Rafa Benitez,I understand the love for Rafa Benitez,1,"The hatred for Rafa Benitez, I don't understand.",2
Big 12SEC announce basketball challenge,Basketball challenge announce Big 12SEC,3,"Basketball challenge, Big 12SEC announce.",4
Kansas just won the Big 12 championship again,The Big 12 championship again won just Kansas,5,"The Big 12 championship again, Kansas just won.",4
Sorry to the rest of the big 12,"Rest of the Big 12, sorry not sorry",3,"To the rest of the Big 12, sorry.",5
The big 12 is about to be so stacked next year,"Next year is about to be so stacked, the Big 12 isn't",2,"So stacked next year, the Big 12 is about to be.",3
will prolly win the Big 12,The Big 12 will prolly win.,2,"The Big 12, will prolly win.",2
UK part of the Big 12SEC Challenge,The Big 12SEC Challenge is part of UK.,2,The Big 12SEC Challenge includes UK.,3
well the big 12 just got decided,"Just got decided, the big 12 well.",2,"Just got decided, the big 12 well.",3
Just wish he wasnt in the Big 12,"In the Big 12, just wish he wasn't.",2,If only he wasn't in the Big 12.,3
hannahbush were in Reigate,"In Reigate, hannahbush were.",5,"In Reigate, hannahbush were.",5
I dont have time for beating around the bush,"Beating around the bush, I don't have time for.",2,I don't have time for evasive language.,3
Ctfu the man in the bush,"The bush is in the man, ctfu.",1,"The man in the bush, ctfu.",2
He is worse than Bush,Bush is worse than he.,2,"Bush, worse than he is.",2
Then time to trim the rose bush,"The rose bush to trim, then time.",2,It's time to prune the rose bush.,3
I want the Bush days back,"Back the days of Bush, I want.",2,I miss the days of Bush.,3
Footbridge over the River Bush,The River Bush is over the footbridge.,4,"Over the River Bush, the footbridge is.",4
I did for Bush as well,Bush did for me as well.,5,"As well for Bush, I did.",3
Darling stop beating around the bush,Stop beating around the darling bush.,4,"Stop avoiding the topic, darling.",4
FUCK THE GOVERNMENT FUCK THE OBAMA ADMINISTRATION FUCK BUSH FUCK BUSH SR,FUCK BUSH SR FUCK BUSH FUCK THE OBAMA ADMINISTRATION FUCK THE GOVERNMENT.,2,"The government, Obama administration, Bush, and Bush Sr. can all go to hell.",5
Yeah CHALMERS that s a foul,"That's not a foul, CHALMERS.",2,"That's a foul, CHALMERS.",4
And now chalmers with the scoop layup,Chalmers with the missed scoop layup.,5,Chalmers scores with a scoop layup.,5
Mario Chalmers pissin me off,I'm pissing off Mario Chalmers.,2,"Pissin me off, Mario Chalmers.",4
Chalmers just walked with the ball,The ball just walked with Chalmers.,2,"With the ball, Chalmers just walked.",4
Mario Chalmers looks like Mario,Mario looks like Mario Chalmers.,5,Mario looks like Mario Chalmers.,5
I hate Mario Chalmersdont know why,"I love Mario Chalmers, don't know why.",1,"Don't know why, I hate Mario Chalmers.",3
CHALMERS IS THE TURNOVER KING,The turnover king is Chalmers' title.,5,The turnover king is Chalmers.,5
Chalmers is always complaining to the refs,The refs are always complaining to Chalmers.,2,"To the refs, Chalmers is always complaining.",3
The fuck Chalmers is doing,Doing Chalmers is what the fuck.,0,"Doing, the fuck Chalmers is.",2
Chara get in that box,"Get in that box, Chara.",5,"Get in that box, Chara.",5
Orr should beat the shit out of chara,Chara should beat the shit out of Orr.,2,Chara should be beaten up by Orr.,4
watching chara go down is the best feeling,The worst feeling is watching Chara go down.,1,The best feeling is watching Chara go down.,3
Orr vs Chara is like a Jack Russell vs a Wolfhound,A Wolfhound vs a Jack Russell is like Orr vs Chara.,5,A Jack Russell vs a Wolfhound is like Orr vs Chara.,5
Chara is 69 Holy shit,"Holy shit, 69 is Chara's number.",5,"Holy shit, Chara is 69.",5
Colton Orr lowers the boom on Chara,Chara gets lowered by Colton Orr's boom.,5,The boom is lowered on Chara by Colton Orr.,5
Orr with a big hit on Chara,Chara takes a big hit from Orr.,5,Chara is hit hard by Orr.,5
